,target
813,133.92059635022042
238,-127.48096873462501
145,-32.86149440542502
792,51.82421488031787
234,112.51633629920934
220,-180.07360792335126
923,138.72732886229574
500,133.06681860623763
132,110.86365591566161
990,30.111562520216157
774,29.938603614438644
185,97.98468644748999
41,7.261347136435587
696,-332.512206606907
108,-107.21863129916154
588,21.505105301780816
56,215.19430147271908
405,258.729268499677
442,-137.0471942701662
757,195.1748568860446
997,-245.90670193360486
24,-238.82884012955472
467,0.7588436449784375
539,-157.8890730900669
531,-229.03371085108677
618,14.91891708866067
694,92.02401462680503
926,-184.09388311741958
338,-19.471931642319014
51,-59.21910884392941
507,-190.11078328417273
516,-54.3642377838257
920,24.146834974480136
781,40.83345069105835
264,-129.33343967410053
817,399.61792234624687
710,56.69736751146213
682,10.268488419175807
832,-184.04078136133214
518,191.9238244067729
447,-80.10719526474453
18,250.35365978116621
715,-75.2709608744201
483,53.98633734276196
568,93.68973816449073
433,86.24774036461037
367,444.0064385259585
83,36.59070621084842
61,164.03796393586208
638,-177.60041201451412
272,106.52672309863229
285,-70.99232945248338
360,-160.45948815359063
354,-182.9938780981156
456,-172.93398384452163
278,6.521045992989146
12,-144.64435934414564
182,-83.70855075109166
368,-1.3754209811433817
881,-69.1382137810254
615,0.6931362945777728
223,-216.62684095152235
572,162.84093486717316
970,-349.29830703311336
653,-75.141684544622
545,24.81730085670634
582,-312.5029368431841
633,-212.17429969961458
176,283.67654840432317
665,-93.98525686320073
673,54.0769755364129
585,-65.76051023682749
873,-27.739319786727865
393,201.8258711764705
163,-86.68922997669983
248,141.96361427047012
634,-121.85617285282014
885,-27.845054620815972
669,48.65786709197329
375,-127.19376594601651
412,-4.155285917297848
74,-52.15246390810018
113,-114.6322098298529
598,141.44987088356956
961,141.1036912935553
390,109.26996210233573
104,-75.2298836268705
114,-116.52332003629549
417,208.3992895915568
525,45.34878213802048
457,-167.02491920437586
409,1.4157131140159223
92,-109.39934598715001
930,-85.4724184908536
89,-94.5003595397871
336,-22.240187330140017
988,-54.21479101488685
921,-15.557417867928462
933,-21.484138207732915
605,-171.1331129197409
593,156.10907059279813
611,38.068582447256226
94,-80.29778327134333
11,192.91074831861786
396,45.35511156441062
533,123.73444028931068
43,-108.45935375609191
42,-98.5703392109697
329,168.32936162962784
167,-200.6069160018526
497,-6.602305205338056
876,22.760761722248674
597,-105.44229738360279
756,174.5314632227827
100,98.10254552064048
426,-252.83264868462823
178,36.23225204972303
444,-112.19708194373938
416,-83.56211676126115
870,-70.11277476810109
882,50.44119950680957
680,126.99609441639377
177,-63.356936836133556
395,233.3944836641876
911,-137.275335593194
793,-373.5130385631407
960,64.83057826784903
684,-43.59700107805609
383,-31.032970068108757
956,-151.93652875748938
751,165.67380310738957
257,-128.93275243053435
538,-10.174068713201647
335,72.71218257305917
15,332.6962365221897
324,65.7787502139183
758,203.17668116848742
222,255.84028806442814
179,113.73472012119801
983,65.47483376566568
22,91.12816178211168
356,161.6793792714176
666,-35.72855339849545
861,41.439685844962426
340,216.30658767305997
431,-198.01944304847987
551,-97.90653142168156
833,58.20449886893466
203,93.98624662502671
630,-255.04870221766376
93,115.13852768890084
558,-65.1860494473455
68,-4.46288321093172
622,-42.05002155879387
284,55.51536408467142
844,-78.78556955716692
434,158.41889054371057
153,-111.21829364195253
75,-123.52464028036955
730,-78.97186370283303
446,-8.120123544538751
188,-99.28384680004315
271,-114.55055590889123
236,-359.894714305485
487,-127.3445424973152
117,263.5371347210606
943,67.0101384470391
512,69.50501644096086
825,-48.7779728797746
591,-48.01692471294143
126,-105.65172325442087
116,49.141359120211526
473,-20.503020044843925
693,176.65544359423458
57,24.89889298488621
863,-139.687127405568
912,131.37719295341392
369,-80.5129719463441
268,-32.14939186273948
46,41.335028224755064
349,65.56020049051497
195,-189.8462871107139
999,-40.902337887029006
834,-13.30018142382237
736,18.553168466436492
263,160.14095428009603
443,610.3438705055102
675,-139.6033630183902
304,-63.16324184308418
341,60.24722760194227
966,67.3062900174152
149,34.62652261611301
124,33.246639568624744
786,130.75057972425788
50,151.59277018659057
353,-16.261425773663525
927,-51.43186795545379
142,-102.28961715477035
470,47.957190929385945
399,-121.37353822767219
625,-210.89604318612356
320,-119.44430692249551
19,-95.04797800727948
809,299.8360492873418
790,79.24325633651935
808,417.82091604972493
407,-108.99557843698553
537,82.72278611101531
620,-69.89404413186818
38,-84.71428979017841
175,-170.23445026687378
245,226.6798724165721
828,-296.61123734776385
667,-103.30105660382151
754,-112.86277843040527
858,149.36255640423536
154,-147.63365348340304
287,-155.44479114122376
602,-99.73415160127232
569,18.305028451026775
743,-290.3502364917982
17,68.7372050687198
127,-84.2592903959386
322,-203.71696079803
255,82.2480558220772
657,-41.12224578593255
964,267.3273563637131
190,-268.8022068737048
115,-20.87830962728878
616,159.33924337462113
606,-208.3869003398109
180,-16.8876503478551
301,25.2482683039653
759,163.5774366404294
712,79.11190520208073
723,-49.11556488843733
685,-33.242373101559124
979,27.023084622739173
517,170.61394567359858
984,75.63098078232248
45,45.788732499764016
909,24.190350034762773
157,71.15013163298426
851,16.7196402450923
171,79.8450952367745
16,230.5956279429762
511,-182.3547284584746
48,-30.9598633064114
971,-69.94165058314658
940,248.90814238120643
515,248.4567442622532
952,0.0771270851468131
480,-179.83735589832526
283,-9.096667729836614
718,-45.57768858758743
877,250.42453092348637
225,125.08698642539834
26,-39.548570449683666
954,163.13338037260718
437,78.66054826046872
951,-215.5463853409714
364,-313.372172769624
229,-112.99501060477374
37,-17.328883898781942
965,29.293526160568277
374,56.7262737685656
469,-288.60178763331885
967,233.05188266220983
850,-25.888852197400983
704,157.5133411512755
841,131.1323128956761
194,203.87991885558444
854,206.08026883357334
864,122.89549751022236
503,-16.813367102624103
969,-73.98440251752623
830,72.99829332772431
579,51.513927463978604
968,-57.65421539211395
162,41.18428229644645
908,-54.013187749870085
152,79.62914768111482
801,183.2894572564988
993,278.32636403636417
755,-72.77577717502936
111,117.48493837701187
226,160.28601875186504
688,-114.60824221209673
103,6.906670583119645
421,26.87803103665574
419,-80.20114720283955
750,75.12716213623582
586,115.15638237131756
780,109.13491791021355
672,-42.00083147477058
119,-276.09235428098407
53,-43.56790105311651
151,34.59976667430666
403,225.70342697990364
945,102.73733125232974
207,-51.07978353327564
658,-288.2569089592094
843,-282.4056646961197
762,28.773290528749072
8,-91.67133702119047
807,113.31445893180768
36,-40.26785854269207
452,126.12356184038906
651,-69.04981002543211
253,373.20986280095906
303,144.04674793891311
746,-181.10102467352894
571,123.3525700469804
623,74.64770200202693
732,49.37457134212319
891,-138.55687851963268
262,238.75612986742354
610,-200.99447759486495
297,-36.6229239458112
414,16.769702889471546
150,-190.18087136414397
788,23.38315563735763
640,-30.306566724432386
889,-25.21452240094464
550,-18.23858916901612
886,91.71647607185228
488,-76.36994276875174
147,-18.079870809372547
146,-180.4030526063826
720,8.258103777785166
931,-118.22965556148561
739,26.065099146735754
659,128.9150516718843
348,-46.69066048902065
463,-48.91699704081037
325,-130.33779112699295
186,7.261462807104447
123,-20.837463122756816
853,160.64521448514148
608,-0.6862532773459122
143,131.51329210067527
958,-136.51765808186747
197,118.4500440979807
609,151.17173664301413
279,-6.389867460129995
293,18.252017716119475
400,-242.859737376996
122,270.2161496989301
183,64.98652408065324
202,-120.37344453032995
438,-93.83496273708847
246,-2.612843165568936
415,18.2961190426812
932,29.250427942591507
765,-406.873941597695
906,58.52554262197083
835,-179.56094812453387
887,-355.2800412074667
129,83.28932377511256
637,-28.414891353134113
402,-231.55006653378322
784,206.55235256295063
770,-184.07223222840184
735,-93.91708769253057
913,78.782734129975
219,34.75375917357903
641,-171.41202732627283
915,4.7552236466388935
752,46.312352255849696
806,-57.63291153161339
919,-180.46374923731582
624,284.7012022936468
874,64.24843176420761
760,-143.29393512463085
386,-76.44993911262821
972,133.14836015709926
509,88.28889381415055
267,27.785724512718044
819,-226.62476092549858
441,59.08122423980016
496,193.59417920689177
112,1.2631953622362389
691,1.105658912279054
232,63.90244034297845
869,38.098256721684656
607,-0.8367714804400577
671,-103.10489492815442
373,-14.428136475954531
981,-21.661515283020286
842,-18.159518927836938
233,21.939368631740606
785,37.37004883331875
676,-101.98541501088567
317,167.61101562258307
648,48.606612257424004
410,-24.220242524668762
898,52.46920851801148
709,211.86488877362555
358,-101.46432940687112
258,-21.889280679460242
744,-86.77296249256791
627,19.576303149867375
632,29.876496954005376
282,153.75546908597852
376,-491.3923819570262
384,12.01007216396259
224,71.55091853650548
953,51.14075500907666
814,9.185166577371563
472,-231.4506054714364
347,109.39589890323738
505,-120.75037707158404
639,-13.56007499695514
987,9.912798644052994
928,75.0845576203157
905,122.31021664852621
619,-118.18375322511902
855,-314.91564286880265
803,-2.428395671848098
645,-134.88110241537476
846,271.1267428654835
556,193.552969566
957,232.48522837673096
577,-52.16238610653475
795,-37.047156748262715
85,23.024308262901954
242,37.55970232198726
698,147.05877007149502
159,110.94063393335901
524,-108.874333904144
35,-94.62687264608203
540,35.87946116516983
170,21.560197969690154
654,180.2277618251372
890,-92.94428783742809
857,-90.50064623791262
847,70.58346762073468
944,-178.67584755755038
733,22.484705453611944
95,-113.39011323819507
563,-268.1355365711679
240,-1.990874878570665
742,92.58810332091046
574,-269.61108335235787
690,-24.824071195307745
460,-336.47739371244666
553,244.46399792114784
888,-11.906557949791058
206,241.20101503158662
392,93.25433796759522
794,-113.77960563699344
397,-165.57261526662114
766,104.44091286293659
848,-24.517657265515112
217,-293.59170510028355
4,102.79672114725237
768,-162.3326961221381
642,269.48091769824254
929,34.17986578749229
612,-168.3954242528732
738,-81.90408828235782
546,-126.01690695027519
725,24.55875392827057
683,46.089512945952265
98,142.04407612576023
804,-283.27510468138
727,109.48538019111969
573,123.80876154695515
406,-88.21340710614935
502,98.9715294362268
47,-125.29182118879996
32,-87.34407885336121
779,-138.30214500739729
839,5.832857564289707
200,49.937385366319376
134,-61.93825650796214
27,153.2740083695901
880,287.7373780054651
230,140.72737048406958
489,-77.64559327400833
772,288.21321836416206
378,-60.32241102255833
288,183.55809268299532
418,178.87626737719637
674,212.89594100749326
391,-13.612223034294967
592,-113.71343155606742
498,122.8314053579795
138,-104.39552349562376
62,-196.76183897120237
471,-61.8958164492869
647,-199.62497594557908
128,14.242282281080604
976,-170.79081898545186
520,-31.711357836441874
838,198.32044229906873
962,187.0552264697936
64,252.97541591894893
812,11.800686371950633
14,12.74938295817945
156,-184.5102839031281
40,214.05103325923005
492,77.81095030603917
379,-57.626584574501
187,88.53975179078589
763,-284.78278334040516
216,252.9676295894323
791,-145.90338589451457
52,163.249789711017
878,39.45012635806462
337,231.32764775211567
748,132.90118879110395
719,-98.6567210849004
724,-22.036996887246787
295,96.97295947064579
701,99.9408057772074
251,-21.077889882786952
726,-47.659351533033984
461,-358.04725489786796
455,-0.6972431008288851
996,107.60089013724226
815,190.76582837849236
862,117.0027163174142
269,11.029788195962821
201,-62.14177280839532
161,-23.677589391906576
555,253.67562485726134
729,-99.7703655711381
401,-76.84151698207361
702,67.57017502873622
476,199.69418188897086
821,34.16309578042858
771,-211.43290068714134
105,-111.84546651385419
565,81.31463591366733
389,126.78403576247077
1,41.4570409587292
937,-67.23315107437901
982,20.714688509721896
561,-293.4095916419838
80,25.651312144620665
205,458.86611204010603
34,-309.04249623014204
775,134.92849689680543
508,218.581787122197
427,19.1033215590679
454,55.841823608113025
366,4.2146864413413905
91,10.946070605496955
339,163.880622903215
897,-104.62204805034608
564,157.4315446178152
345,83.14645968383705
776,-143.56053224687267
241,-18.358939768760596
13,130.2313436100737
315,-35.768929324837394
600,99.70967990780149
387,-73.50202781706334
273,-30.5595983515507
166,294.3632067671372
840,16.535852820940313
992,229.4925727353158
646,-29.04162325563383
818,-181.08612915745584
484,-58.91832711806397
980,3.4667621140420604
504,-298.73869801621265
831,14.687342772050705
243,63.3901349306869
566,-239.58023005341923
875,18.4907201507409
562,-254.57838309915377
686,-121.70301883490455
189,73.480792040215
782,64.31931569398769
699,63.04721761638228
475,128.39071518954276
681,-59.43160764505175
510,-252.0072981194483
58,-26.335762322296183
474,331.801679559733
560,-81.320667749978
856,137.30519291447035
747,-41.66766468092004
252,19.093211800177187
21,-250.41549107204943
313,-88.10359493685048
459,137.8756333941518
160,-178.82359906527182
276,212.07712011144406
955,79.83345724708053
191,-34.766462451464314
385,241.21948318106308
805,174.32300422713195
413,-41.060164087970406
491,107.77924355324724
343,200.4475037169745
769,52.09929419913284
308,-111.65298896835455
661,94.21796995481274
130,40.71536254315744
663,-64.65249698801598
871,-73.37639790544478
99,29.026884330123735
372,86.75360179425847
87,117.43861681666792
458,-174.55287014018413
330,84.39300128216267
214,-108.14026166524923
466,-49.445098555559404
121,-3.9514198122234525
614,-191.84844441140717
20,-192.33547386973413
700,86.149637996459
71,85.15636257337404
106,-30.107581165323424
270,149.82942382374816
860,-276.13308237170907
435,57.95982686876573
102,135.69785581069758
