,features/color,features/x,features/clarity,features/y,features/depth,features/z,features/carat,features/table,features/cut
9978,3,6.35,2,6.43,62.8,4.01,1.01,56.0,2
16617,3,5.72,2,5.64,62.5,3.55,0.71,57.0,4
20088,2,5.81,2,5.79,59.5,3.45,0.7,57.0,3
36300,4,5.11,2,5.14,63.0,3.23,0.51,57.0,2
23048,3,5.68,3,5.71,61.8,3.52,0.7,57.0,4
20060,2,4.3,5,4.35,61.5,2.66,0.3,58.0,4
45795,2,5.29,5,5.27,62.3,3.29,0.55,54.0,4
51168,3,7.38,3,7.3,59.5,4.37,1.44,61.0,3
43318,6,4.92,4,4.95,63.0,3.11,0.47,60.0,2
7184,2,5.1,4,5.06,61.8,3.14,0.5,60.0,3
11943,2,6.56,3,6.51,61.2,4.0,1.03,54.0,4
43521,5,6.8,2,6.82,62.3,4.24,1.22,58.0,4
40258,4,4.96,4,5.04,61.2,3.06,0.46,55.0,4
40248,2,6.71,1,6.8,65.0,4.39,1.22,56.0,0
50529,2,4.82,4,4.77,60.7,2.91,0.41,56.0,3
37752,5,7.85,3,7.9,58.0,4.57,1.71,60.0,1
26477,0,7.53,1,7.59,63.4,4.79,1.72,62.0,1
49436,3,5.18,1,5.14,62.4,3.22,0.53,56.0,4
3064,2,4.82,4,4.8,61.6,2.96,0.42,56.0,4
12505,1,5.68,1,5.72,61.1,3.48,0.7,62.0,2
40759,2,5.8,2,5.75,59.4,3.43,0.7,59.0,3
19052,1,4.32,3,4.28,62.3,2.68,0.3,58.0,3
44639,4,5.01,5,5.03,61.9,3.11,0.5,64.3,1
50281,3,6.74,3,6.7,60.0,4.03,1.1,57.0,4
32812,5,6.53,1,6.46,58.8,3.82,1.0,55.0,4
36840,6,6.85,1,6.92,60.4,4.16,1.24,61.0,2
42737,4,4.04,7,4.06,61.3,2.48,0.24,56.0,2
53550,6,4.8,4,4.84,61.7,2.98,0.43,58.0,4
35266,5,8.08,1,8.11,61.1,4.95,2.02,61.0,2
53535,4,5.47,5,5.5,60.9,3.34,0.61,60.0,3
30156,4,5.08,2,5.11,62.0,3.16,0.5,56.0,4
42120,5,7.36,3,7.41,61.7,4.56,1.53,57.0,4
10733,1,4.52,3,4.53,62.1,2.81,0.35,56.0,4
30467,3,4.41,4,4.37,59.9,2.63,0.3,56.0,4
24321,4,4.4,7,4.43,61.6,2.72,0.32,56.0,4
26244,3,4.82,2,4.8,62.6,3.01,0.43,59.0,3
33775,3,6.35,2,6.4,62.7,4.0,1.01,58.0,2
1803,5,4.47,4,4.44,62.6,2.79,0.34,56.0,4
44533,3,4.51,4,4.54,57.0,2.58,0.32,62.0,1
1106,2,6.62,3,6.66,61.9,4.11,1.11,55.0,4
33345,4,5.14,2,5.11,63.0,3.23,0.51,57.0,4
30537,1,4.44,4,4.49,62.0,2.77,0.34,57.0,4
19235,6,8.58,4,8.53,60.3,5.16,2.28,58.0,3
49709,3,6.4,3,6.44,61.9,3.97,1.01,56.0,4
13819,2,5.19,4,5.22,61.3,3.19,0.52,56.0,4
29681,6,8.03,1,8.07,62.7,5.05,2.02,56.9,4
5181,0,4.35,2,4.39,62.0,2.71,0.31,56.0,4
32351,1,5.72,2,5.67,63.2,3.6,0.71,57.0,2
323,3,7.3,3,7.36,63.0,4.62,1.54,59.0,2
27064,5,5.93,2,5.84,67.3,3.96,0.9,59.0,0
38446,3,4.82,6,4.85,62.0,3.0,0.43,55.0,4
49965,0,4.11,3,4.15,62.0,2.56,0.27,57.0,2
18367,3,4.38,3,4.42,62.5,2.75,0.32,56.0,4
23623,3,4.41,6,4.38,62.6,2.75,0.32,58.0,3
41720,4,5.38,6,5.36,62.0,3.33,0.59,58.0,3
18434,3,6.56,3,6.52,61.9,4.05,1.05,56.0,4
52332,3,4.31,4,4.27,63.6,2.73,0.3,55.0,1
36998,4,5.79,1,5.83,60.8,3.53,0.72,56.0,4
30546,4,5.79,1,5.76,61.8,3.57,0.72,55.0,4
16826,5,4.65,4,4.69,62.3,2.91,0.38,53.4,4
14757,2,4.65,7,4.68,62.2,2.9,0.38,54.0,4
15188,0,8.2,1,8.09,61.6,5.02,2.0,59.0,3
41033,6,4.27,4,4.28,62.2,2.66,0.3,57.0,4
15914,3,4.81,4,4.86,59.8,2.89,0.41,57.0,4
32064,3,4.26,5,4.29,62.9,2.69,0.3,58.0,2
19983,6,6.84,3,6.8,62.2,4.24,1.2,54.0,4
40549,1,4.39,3,4.41,62.0,2.73,0.32,55.0,4
48837,5,4.8,5,4.77,61.7,2.95,0.41,56.0,4
40567,2,6.35,2,6.4,63.7,4.06,1.01,57.0,1
11538,2,5.65,5,5.7,63.6,3.61,0.72,59.0,2
2744,4,8.34,2,8.29,60.6,5.04,2.09,57.0,4
48920,3,6.59,3,6.62,61.3,4.05,1.08,56.0,4
950,3,5.81,5,5.75,61.9,3.58,0.73,56.0,4
20722,0,7.29,3,7.34,62.3,4.56,1.51,59.0,2
4062,4,7.66,5,7.62,61.4,4.69,1.7,58.0,3
3510,1,5.71,2,5.68,61.8,3.52,0.7,57.0,4
46492,5,7.05,1,7.01,61.0,4.29,1.31,59.0,4
11911,4,7.15,3,7.19,59.1,4.24,1.34,60.0,1
14181,0,5.8,1,5.86,60.4,3.52,0.73,59.0,2
33192,2,4.44,3,4.48,64.3,2.87,0.34,53.0,1
49866,1,5.27,5,5.33,62.1,3.3,0.56,58.0,2
23978,2,5.09,5,5.11,62.2,3.17,0.5,54.0,4
38286,4,4.08,4,4.11,62.0,2.54,0.26,56.0,2
40557,4,8.11,1,8.04,62.0,5.02,2.01,60.0,3
40044,2,6.83,5,6.78,62.2,4.23,1.2,58.0,3
46657,3,4.81,7,4.84,62.2,3.0,0.42,54.0,4
1068,3,6.62,4,6.57,62.0,4.09,1.08,55.0,4
21479,1,4.72,2,4.7,63.5,2.99,0.4,57.0,2
40403,1,5.91,1,5.87,63.7,3.75,0.8,54.0,1
6524,6,7.26,2,7.35,62.6,4.57,1.51,54.0,4
40682,0,4.84,3,4.88,60.7,2.95,0.43,58.0,3
34074,1,4.75,5,4.78,61.9,2.95,0.41,56.0,4
28275,3,6.88,2,6.82,61.8,4.23,1.22,58.0,3
29474,3,5.59,2,5.55,68.4,3.61,0.7,58.0,0
21268,2,6.34,5,6.41,62.3,3.97,1.0,57.0,2
13674,6,7.5,5,7.45,61.4,4.59,1.57,57.0,4
12348,2,6.01,2,5.98,62.4,3.74,0.82,56.0,3
43431,3,6.64,3,6.67,62.1,4.13,1.12,55.0,4
50783,1,5.87,1,5.91,59.6,3.51,0.73,57.0,2
47543,0,6.63,5,6.68,60.3,4.01,1.07,56.0,4
14359,0,5.3,3,5.35,61.2,3.26,0.56,56.0,4
21937,4,4.48,4,4.51,62.1,2.79,0.34,57.0,4
32773,0,7.46,2,7.4,60.6,4.51,1.52,58.0,4
10202,1,4.81,2,4.76,59.1,2.83,0.39,59.0,3
42053,4,7.0,3,7.05,62.1,4.36,1.34,57.0,4
30404,1,5.15,1,5.12,63.7,3.27,0.52,56.0,1
44055,3,5.75,2,5.78,61.4,3.54,0.72,56.0,4
29383,2,6.53,1,6.57,60.0,3.93,1.02,60.0,2
28332,1,6.2,3,6.28,61.1,3.81,0.91,58.0,2
34154,3,7.06,1,7.03,62.0,4.37,1.34,55.0,4
10491,3,4.8,6,4.82,61.0,2.93,0.41,55.0,4
15191,0,5.28,6,5.31,61.8,3.27,0.56,56.0,4
1635,2,7.34,3,7.29,62.3,4.56,1.52,56.0,3
53928,2,6.28,3,6.32,63.8,4.02,1.0,58.0,1
42620,2,4.35,7,4.38,61.2,2.67,0.31,57.0,4
8407,2,5.26,7,5.21,61.9,3.24,0.54,60.0,3
48086,3,5.68,1,5.59,62.8,3.54,0.72,61.0,3
45915,0,5.67,1,5.64,63.0,3.56,0.7,56.0,3
52933,1,4.29,2,4.31,63.0,2.71,0.31,58.0,2
46414,2,6.57,0,6.54,62.1,4.07,1.06,55.0,4
43252,2,5.92,6,5.88,58.1,3.43,0.71,58.0,3
7569,0,4.53,2,4.49,61.6,2.78,0.35,56.0,4
40155,1,4.75,4,4.7,63.9,3.02,0.41,53.0,1
45030,3,5.72,3,5.68,60.9,3.47,0.7,60.0,3
22154,1,3.94,3,3.97,63.0,2.49,0.24,58.0,2
22142,2,6.67,1,6.64,62.0,4.13,1.11,57.0,4
1318,2,6.55,1,6.61,62.6,4.12,1.08,56.0,2
39530,2,6.76,6,6.81,61.5,4.17,1.16,56.0,4
15598,6,8.17,2,8.24,60.3,4.95,2.05,60.0,4
802,2,6.7,3,6.69,60.5,4.05,1.1,57.0,3
12335,1,5.86,1,5.81,61.5,3.59,0.76,58.0,3
28929,0,6.83,1,6.8,62.2,4.24,1.21,60.0,3
30017,3,6.55,7,6.59,62.3,4.09,1.08,56.0,4
8337,1,4.29,3,4.33,61.5,2.65,0.3,55.0,4
34780,4,6.87,1,6.92,61.1,4.21,1.21,55.7,2
29671,0,4.4,6,4.43,62.1,2.74,0.32,54.0,4
17406,0,4.54,2,4.58,61.6,2.81,0.36,56.0,4
47797,6,5.11,2,5.13,62.5,3.2,0.51,58.0,4
13151,6,5.3,7,5.28,63.7,3.37,0.59,59.0,1
772,5,5.4,6,5.45,61.6,3.34,0.59,55.0,4
28421,1,5.69,2,5.72,62.1,3.54,0.72,58.0,3
39728,3,6.3,2,6.18,62.5,3.9,0.91,56.0,3
8677,6,7.26,4,7.21,61.8,4.47,1.51,61.0,3
4385,2,7.29,1,7.38,59.9,4.44,1.4,60.0,2
26676,4,6.32,3,6.35,60.1,3.81,0.94,59.0,3
22638,2,4.72,7,4.75,61.0,2.89,0.39,56.0,4
37666,0,5.08,1,5.12,62.0,3.16,0.51,58.0,3
17928,3,4.57,4,4.61,60.6,2.78,0.36,60.0,2
9942,3,4.5,3,4.46,62.1,2.78,0.34,57.0,4
41103,2,5.89,3,5.96,60.3,3.57,0.77,61.0,1
5040,0,5.64,1,5.59,64.3,3.61,0.71,56.0,1
18382,2,6.44,1,6.49,59.4,3.84,1.01,60.0,1
50688,5,4.43,5,4.41,62.4,2.76,0.33,56.0,4
5959,4,7.53,2,7.46,59.5,4.46,1.53,59.0,3
36014,3,6.88,3,6.9,61.4,4.23,1.22,56.0,4
23680,3,6.47,4,6.43,60.9,3.93,1.01,58.0,3
26914,3,5.22,2,5.27,60.7,3.18,0.53,56.0,4
22902,5,4.75,1,4.7,61.0,2.88,0.39,58.0,3
13602,3,5.75,4,5.78,61.7,3.56,0.72,56.0,4
53352,4,6.48,2,6.45,61.4,3.97,1.01,60.0,4
37581,3,5.33,5,5.34,62.0,3.31,0.58,57.0,2
25889,4,5.21,4,5.23,61.7,3.22,0.53,56.0,4
37963,1,6.09,1,6.12,62.1,3.79,0.9,63.0,1
12315,1,6.48,3,6.53,61.6,4.01,1.05,58.0,2
41852,1,4.66,2,4.68,64.2,3.0,0.4,57.0,1
7402,4,7.34,2,7.29,62.0,4.54,1.5,55.0,4
42411,1,5.2,3,5.24,61.9,3.23,0.54,55.0,4
19839,0,6.26,2,6.29,62.3,3.91,1.0,59.0,2
25971,4,6.71,4,6.73,62.4,4.19,1.16,56.0,4
35942,4,4.54,3,4.49,62.5,2.82,0.34,54.0,4
50162,3,4.42,6,4.44,61.4,2.72,0.32,57.0,4
3944,6,7.74,3,7.85,61.8,4.82,1.79,56.0,4
49059,1,4.45,7,4.5,58.1,2.6,0.31,60.0,2
7305,4,8.29,1,8.22,59.7,4.93,2.0,57.0,4
35543,1,4.49,3,4.45,62.4,2.79,0.34,56.0,4
52131,5,4.55,4,4.59,62.1,2.84,0.36,56.0,4
8358,2,4.22,6,4.25,62.3,2.64,0.29,58.0,2
34105,1,5.64,5,5.69,63.4,3.59,0.71,58.0,2
7563,1,3.96,6,4.0,63.1,2.51,0.24,55.0,2
30230,3,6.4,3,6.33,63.0,4.01,1.0,58.0,3
43224,1,6.53,6,6.61,60.9,4.0,1.04,58.0,3
41202,3,5.06,4,5.08,62.9,3.19,0.5,58.0,2
53639,0,5.05,2,4.95,64.6,3.23,0.5,61.0,0
14458,5,5.72,1,5.78,60.3,3.47,0.71,58.0,3
32589,6,7.04,4,7.1,62.1,4.39,1.35,56.0,2
13858,5,6.5,1,6.46,61.3,3.97,1.04,59.0,3
3231,3,5.76,0,5.69,63.9,3.65,0.73,55.0,1
41931,2,7.24,3,7.29,60.0,4.36,1.4,58.0,2
26960,1,4.39,6,4.42,61.7,2.72,0.32,55.0,4
35990,1,5.66,4,5.7,62.3,3.54,0.71,56.0,4
29875,3,4.7,5,4.65,61.4,2.87,0.4,64.0,1
46821,0,7.47,3,7.6,61.4,4.63,1.59,60.0,2
46898,3,6.05,1,6.1,63.2,3.84,0.9,58.0,2
200,5,8.68,1,8.61,59.9,5.18,2.35,58.0,3
15142,3,4.75,3,4.78,60.4,2.88,0.4,58.0,3
43812,0,5.62,4,5.67,62.5,3.53,0.7,60.0,3
40022,5,7.21,5,7.22,61.6,4.44,1.39,53.0,4
29925,0,4.59,6,4.6,62.0,2.85,0.37,56.0,4
18865,2,6.31,1,6.37,62.5,3.96,1.01,59.0,1
7329,0,6.11,1,6.14,64.5,3.95,0.93,58.0,1
52169,2,4.76,7,4.79,62.2,2.97,0.41,54.0,4
10936,6,6.12,3,6.08,64.1,3.91,0.9,56.0,1
37424,3,4.46,3,4.48,59.9,2.67,0.32,59.0,2
52783,4,4.29,2,4.31,61.2,2.63,0.3,60.0,3
38160,3,7.3,5,7.21,62.9,4.56,1.51,60.0,3
37379,3,4.43,3,4.46,60.3,2.68,0.32,57.0,4
28880,2,6.7,5,6.78,61.8,4.16,1.16,56.7,4
13631,6,8.16,2,8.21,59.8,4.9,2.02,59.9,2
3755,4,4.42,7,4.47,61.4,2.73,0.32,55.0,4
36342,1,6.63,1,6.59,59.2,3.91,1.01,56.0,4
36540,1,6.46,4,6.38,62.0,3.98,1.01,57.0,2
41943,3,4.78,3,4.81,61.7,2.96,0.41,54.0,4
35275,3,6.47,7,6.6,61.7,4.03,1.04,58.0,2
23537,1,5.26,2,5.31,62.8,3.32,0.56,57.6,2
30655,0,5.21,2,5.12,62.6,3.23,0.54,57.0,3
43008,3,4.89,5,4.93,60.9,2.99,0.44,57.0,2
20757,4,6.67,1,6.6,61.6,4.09,1.11,60.0,3
4296,3,7.77,1,7.69,59.1,4.57,1.66,58.0,3
15538,4,5.18,4,5.21,60.7,3.16,0.51,56.0,2
41037,1,7.47,3,7.43,61.5,4.58,1.56,58.0,3
4750,1,5.89,1,5.84,59.3,3.48,0.71,56.0,4
10840,3,4.79,3,4.86,60.1,2.9,0.42,61.0,2
40440,1,4.51,6,4.54,61.4,2.78,0.34,56.0,4
50440,5,4.33,6,4.36,62.8,2.73,0.31,55.0,2
28303,1,4.38,3,4.41,61.7,2.71,0.32,58.0,3
48013,1,6.08,1,6.04,61.9,3.75,0.83,53.0,4
32714,4,4.18,5,4.22,61.2,2.57,0.28,55.0,4
51665,3,6.86,3,6.81,61.9,4.23,1.2,56.0,4
49031,5,7.42,4,7.46,60.5,4.5,1.51,60.0,2
50916,3,6.02,3,6.07,61.2,3.7,0.8,57.0,4
9254,4,6.67,5,6.63,61.4,4.08,1.11,57.0,4
21439,1,4.51,2,4.56,59.1,2.68,0.33,58.0,2
22514,5,5.81,3,5.86,61.5,3.59,0.74,57.0,4
52552,0,4.35,2,4.33,62.4,2.71,0.31,53.0,4
4556,0,5.39,2,5.33,62.9,3.37,0.6,58.0,3
9531,1,6.5,5,6.53,60.6,3.95,1.03,59.0,4
11910,2,4.41,3,4.38,61.0,2.68,0.32,61.0,3
33600,1,6.33,2,6.24,63.5,3.99,1.0,61.0,2
18668,0,5.76,3,5.8,61.6,3.56,0.73,56.0,4
50291,3,5.71,1,5.76,62.8,3.6,0.74,59.0,2
18965,0,5.09,1,5.14,61.9,3.16,0.5,56.0,2
44498,5,6.57,1,6.53,63.7,4.17,1.11,58.0,2
24208,2,4.65,4,4.68,62.0,2.89,0.38,54.0,4
53697,4,7.05,1,6.97,61.6,4.32,1.34,60.0,3
23217,2,4.72,4,4.64,62.0,2.9,0.39,56.0,3
18995,2,5.17,2,5.22,62.6,3.25,0.53,55.0,4
857,1,5.56,2,5.52,61.2,3.39,0.64,62.0,3
40965,2,6.06,2,5.88,68.7,4.11,1.0,55.0,0
6633,0,6.0,4,5.94,62.3,3.72,0.81,58.0,3
35975,5,7.31,3,7.26,62.6,4.56,1.5,57.0,4
29760,4,8.31,0,8.26,62.2,5.15,2.16,56.0,4
35915,1,4.34,6,4.39,60.5,2.64,0.3,57.0,4
15020,1,4.63,3,4.57,61.7,2.84,0.36,55.0,4
42311,2,6.31,7,6.34,63.9,4.04,1.0,56.0,2
11917,1,5.24,2,5.29,61.7,3.25,0.55,56.0,4
8777,2,4.66,3,4.61,61.9,2.87,0.38,59.0,3
5533,3,7.13,4,7.11,61.0,4.34,1.36,56.0,4
42436,5,8.25,1,8.27,62.0,5.12,2.13,55.0,4
18730,1,5.24,3,5.28,62.0,3.26,0.55,55.0,4
40151,3,6.21,5,6.28,64.9,4.05,1.0,57.0,2
51133,5,4.37,4,4.39,61.2,2.68,0.31,55.0,4
44026,4,4.44,5,4.41,61.0,2.7,0.32,58.0,3
23875,3,6.48,3,6.51,60.9,3.95,1.01,57.0,4
1877,4,6.49,1,6.58,63.5,4.15,1.11,60.3,1
33532,4,4.35,2,4.39,61.1,2.67,0.31,55.0,2
41929,3,6.49,3,6.56,59.0,3.85,1.0,62.0,2
10512,4,7.42,2,7.38,58.8,4.35,1.5,63.0,2
13524,1,4.45,5,4.5,59.9,2.68,0.32,58.0,3
10115,3,6.4,3,6.36,63.0,4.02,1.0,59.0,3
41129,0,4.74,3,4.76,60.2,2.86,0.39,59.0,2
36334,1,6.72,6,6.77,60.6,4.09,1.13,57.0,4
42817,1,7.39,2,7.44,61.2,4.54,1.53,58.0,4
15943,0,6.62,1,6.66,61.6,4.09,1.11,55.0,4
11902,2,4.44,6,4.42,61.9,2.74,0.33,55.0,4
50844,0,6.6,1,6.62,57.5,3.8,1.02,62.0,1
6605,4,7.45,2,7.44,61.1,4.55,1.53,57.0,4
26542,2,6.57,3,6.39,60.5,3.92,1.0,59.0,3
24699,3,4.41,7,4.47,61.3,2.72,0.32,54.0,4
25334,4,4.34,2,4.32,62.4,2.7,0.31,60.0,3
967,2,6.99,4,7.02,60.1,4.21,1.24,59.0,3
49363,2,5.1,5,5.13,62.6,3.2,0.51,57.0,4
45502,1,5.65,4,5.72,61.6,3.5,0.71,59.0,2
747,5,6.66,2,6.62,61.9,4.11,1.09,55.0,4
36928,3,6.46,4,6.38,63.4,4.07,1.04,59.0,2
32143,4,5.74,4,5.81,61.6,3.56,0.73,59.0,2
1032,3,5.86,2,5.9,62.6,3.68,0.76,56.0,2
17549,2,6.71,5,6.64,61.2,4.08,1.1,56.0,4
44986,3,6.94,3,6.89,62.2,4.3,1.28,59.0,3
38719,5,5.58,2,5.62,63.8,3.57,0.7,56.0,2
52133,1,3.92,5,3.94,64.4,2.53,0.24,53.0,2
50908,3,4.4,3,4.42,61.5,2.71,0.32,59.0,3
30864,3,6.43,2,6.34,62.8,4.01,1.01,59.0,3
50434,2,8.28,1,8.33,62.4,5.18,2.16,59.0,2
5270,2,6.35,4,6.32,63.3,4.01,1.01,60.0,2
4283,1,4.99,3,5.03,63.7,3.19,0.5,59.0,1
51729,0,4.38,3,4.34,61.0,2.66,0.3,55.0,4
38335,5,5.61,5,5.67,63.3,3.57,0.7,55.0,1
11281,3,6.67,3,6.73,62.5,4.19,1.16,56.0,4
11789,0,5.16,2,5.12,63.8,3.28,0.53,56.0,1
36204,2,4.2,5,4.25,64.1,2.71,0.3,55.0,2
21965,6,6.42,3,6.45,62.0,3.99,1.02,56.0,4
6758,3,5.12,1,5.14,63.0,3.23,0.52,55.0,2
52459,0,4.51,2,4.53,61.5,2.78,0.34,53.0,4
4903,3,4.83,2,4.79,63.6,3.06,0.43,55.0,1
6693,2,5.42,5,5.36,61.8,3.33,0.6,57.0,4
9985,2,4.33,6,4.35,62.4,2.71,0.31,54.0,4
28971,5,6.4,1,6.35,61.6,3.93,1.01,59.0,3
50210,0,5.63,5,5.69,59.9,3.39,0.65,58.0,2
53172,1,4.43,3,4.48,60.6,2.7,0.33,60.0,3
35821,3,6.39,1,6.33,62.9,4.0,1.01,57.0,3
6935,1,6.37,3,6.41,63.1,4.03,1.0,56.0,1
19409,1,6.25,1,6.22,62.1,3.87,0.92,53.0,4
19315,3,6.25,7,6.22,62.2,3.88,0.93,58.0,4
31031,5,8.05,1,8.0,62.9,5.05,2.01,58.0,3
27694,2,5.38,1,5.33,60.7,3.25,0.57,59.0,3
18967,4,8.52,1,8.47,58.2,4.94,2.2,59.0,3
28065,1,6.32,1,6.35,63.3,4.01,1.0,58.0,1
20442,3,4.48,7,4.45,61.8,2.76,0.33,55.0,4
22577,0,5.09,3,5.12,62.7,3.2,0.51,55.0,4
47311,1,5.41,4,5.36,60.7,3.27,0.58,58.0,3
36796,0,5.05,3,5.1,63.4,3.22,0.5,56.0,1
3847,1,4.68,3,4.73,62.7,2.95,0.41,58.0,2
51229,0,4.54,5,4.58,61.0,2.78,0.35,57.0,4
50219,3,5.11,4,5.07,62.5,3.18,0.5,58.0,3
14339,0,4.45,3,4.49,62.0,2.77,0.34,55.0,4
3075,4,7.33,3,7.31,61.9,4.53,1.54,59.0,3
51728,1,6.16,3,6.19,62.3,3.85,0.9,57.0,4
13506,1,5.27,3,5.32,61.9,3.28,0.56,56.0,4
41488,4,7.1,2,7.06,65.0,4.6,1.5,57.0,0
38794,1,6.19,1,6.15,62.2,3.84,0.9,60.0,3
11667,0,7.91,1,7.82,64.1,5.04,2.0,57.0,1
7849,3,6.77,4,6.81,62.6,4.25,1.21,56.0,4
11098,2,5.98,1,6.01,65.9,3.95,0.9,60.0,1
44266,0,6.44,5,6.39,62.4,4.0,1.01,58.0,3
3563,1,6.52,2,6.58,58.6,3.84,1.01,58.0,2
41305,0,6.33,1,6.38,61.4,3.9,1.01,60.0,2
9672,3,5.85,4,5.92,58.1,3.42,0.71,59.0,1
50341,2,6.31,2,6.37,63.6,4.03,1.01,58.0,1
44342,5,6.56,3,6.6,59.3,3.9,1.02,59.0,2
3766,4,5.5,4,5.55,61.2,3.37,0.63,57.0,4
14403,3,6.15,2,6.11,63.1,3.87,0.9,59.0,2
45107,3,4.31,4,4.3,60.2,2.59,0.3,62.0,3
2029,3,5.09,2,5.06,58.5,2.97,0.47,60.0,3
19219,2,4.03,5,4.06,61.1,2.47,0.24,57.0,4
16732,2,4.8,3,4.81,60.8,2.92,0.41,56.0,4
47939,2,6.4,1,6.34,63.4,4.04,1.01,56.0,2
7193,3,6.46,1,6.5,58.3,3.78,1.01,62.0,0
24757,2,4.64,6,4.68,62.2,2.9,0.38,57.0,4
32669,3,4.45,7,4.43,62.2,2.76,0.33,56.0,4
35413,3,6.52,1,6.49,62.0,4.03,1.04,56.0,4
39306,1,5.71,2,5.69,61.2,3.49,0.7,60.0,3
9656,0,5.25,3,5.29,61.1,3.22,0.54,56.0,4
42433,0,5.73,1,5.71,62.1,3.55,0.7,60.0,3
24095,5,8.18,3,8.2,61.2,5.01,2.07,58.0,3
43725,4,6.37,2,6.34,63.4,4.03,1.0,56.0,2
47485,1,7.55,3,7.45,62.7,4.7,1.58,56.0,4
24471,2,4.68,7,4.71,62.2,2.92,0.38,54.0,4
51748,5,6.25,2,6.18,63.4,3.94,1.01,62.0,2
33563,4,4.53,3,4.49,58.8,2.65,0.33,62.0,3
2627,4,4.27,2,4.25,61.3,2.61,0.3,61.0,3
