,0,1,Propertycount,2,3,4,5,6,7,8,9,10,Bedroom2,Distance,Landsize,Postcode,Bathroom,index,Lattitude,Rooms,Car,Longtitude
1245,0.0,0.0,6938.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,10.7,679.0,3187.0,2.0,1245,-37.9291,5,2.0,145.0283
8642,0.0,0.0,5263.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.2,0.0,3031.0,1.0,8643,-37.7928,2,1.0,144.9279
5736,0.0,0.0,8400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,0.0,3006.0,2.0,5736,-37.828,3,1.0,144.9683
1458,0.0,0.0,7082.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.9,562.0,3055.0,1.0,1458,-37.7583,4,2.0,144.9428
7627,0.0,0.0,5533.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.5,3886.0,3057.0,1.0,7628,-37.7762,2,1.0,144.9771
1835,0.0,0.0,5051.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.3,358.0,3162.0,2.0,1835,-37.8965,3,1.0,145.0269
316,0.0,0.0,6567.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.9,683.0,3032.0,2.0,316,-37.775,4,2.0,144.93200000000004
108,0.0,0.0,3280.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.3,330.0,3206.0,2.0,108,-37.8477,4,1.0,144.9558
3344,0.0,0.0,3145.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,3166.0,1.0,3344,-37.9014,2,1.0,145.0824
11488,0.0,0.0,21650.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,545.0,3073.0,1.0,11490,-37.72561,3,4.0,145.00922
2742,0.0,0.0,10412.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.2,680.0,3146.0,2.0,2742,-37.854,3,3.0,145.0832
3621,0.0,0.0,10331.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.6,0.0,3101.0,1.0,3621,-37.8108,2,1.0,145.0545
2984,0.0,0.0,2606.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,12.1,763.0,3046.0,2.0,2984,-37.7123,4,2.0,144.9426
9174,0.0,0.0,2606.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.2,0.0,3046.0,2.0,9175,-37.70903,3,2.0,144.93995
7388,0.0,0.0,984.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,9.1,78.0,3015.0,1.0,7388,-37.8262,2,1.0,144.8677
11195,0.0,0.0,14887.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.7,0.0,3141.0,2.0,11197,-37.8453,3,3.0,144.98487
11942,0.0,0.0,9758.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,17.9,182.0,3192.0,1.0,11944,-37.96718,2,2.0,145.07681000000005
7383,0.0,0.0,984.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,9.1,738.0,3015.0,2.0,7383,-37.834,3,2.0,144.8757
6518,0.0,0.0,6380.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,240.0,3016.0,1.0,6518,-37.8544,2,0.0,144.8922
7762,0.0,0.0,11204.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.8,414.0,3058.0,1.0,7763,-37.7432,3,3.0,144.9573
10224,0.0,0.0,10894.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,24.7,540.0,3175.0,1.0,10225,-37.98914,3,2.0,145.22531
3919,0.0,0.0,4918.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,8.7,53.0,3032.0,1.0,3919,-37.7736,2,2.0,144.8798
6606,0.0,0.0,4380.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,5.1,143.0,3181.0,3.0,6606,-37.8525,3,1.0,144.9881
2777,0.0,0.0,10412.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,9.2,207.0,3146.0,0.0,2777,-37.863,2,0.0,145.0501
11475,0.0,0.0,15542.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,14.7,416.0,3030.0,2.0,11477,-37.89279000000001,4,2.0,144.73158
4843,0.0,0.0,7717.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.5,0.0,3181.0,2.0,4843,-37.847,2,1.0,144.9936
9898,0.0,0.0,8524.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,16.1,563.0,3088.0,2.0,9899,-37.68995,3,2.0,145.09399
2760,0.0,0.0,10412.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9.2,0.0,3146.0,1.0,2760,-37.8567,2,1.0,145.0435
8102,0.0,0.0,6232.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.9,597.0,3039.0,2.0,8103,-37.7611,5,2.0,144.9095
8028,0.0,0.0,10331.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.6,0.0,3101.0,1.0,8029,-37.7977,2,1.0,145.0333
973,1.0,0.0,4605.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,13.1,729.0,3128.0,2.0,973,-37.8233,4,3.0,145.1267
5664,0.0,0.0,14887.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3,0.0,3141.0,1.0,5664,-37.8458,1,0.0,145.0034
11883,0.0,0.0,7809.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,9.7,314.0,3104.0,2.0,11885,-37.79386,3,2.0,145.06746
7116,0.0,0.0,1808.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7.8,0.0,3012.0,1.0,7116,-37.8089,1,1.0,144.8788
10389,0.0,0.0,4918.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.3,4977.0,3032.0,1.0,10390,-37.77367,2,1.0,144.88161000000005
10926,0.0,0.0,6938.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,10.3,605.0,3187.0,1.0,10928,-37.93063,3,2.0,145.01314
7608,0.0,0.0,11918.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.2,304.0,3056.0,1.0,7609,-37.762,3,2.0,144.9678
6836,0.0,0.0,6786.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.8,101.0,3053.0,1.0,6836,-37.7989,2,0.0,144.9713
1374,0.0,0.0,11918.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.2,0.0,3056.0,1.0,1374,-37.7738,2,1.0,144.9585
11757,0.0,0.0,11364.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.3,390.0,3070.0,1.0,11759,-37.76588,3,1.0,144.99731
8261,0.0,0.0,14577.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.8,466.0,3072.0,3.0,8262,-37.731,4,2.0,145.0115
3219,0.0,0.0,11308.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.6,0.0,3122.0,1.0,3219,-37.8222,1,1.0,145.0329
11199,0.0,0.0,8400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.7,0.0,3006.0,1.0,11201,-37.8281,2,1.0,144.96627
5508,0.0,0.0,2417.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.6,386.0,3011.0,3.0,5508,-37.8078,5,1.0,144.8846
10,0.0,0.0,4019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.5,0.0,3067.0,2.0,10,-37.811,2,1.0,145.0067
7248,0.0,0.0,5058.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.2,596.0,3012.0,1.0,7248,-37.7913,2,4.0,144.8689
2616,0.0,0.0,3593.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.4,168.0,3031.0,1.0,2616,-37.7835,2,1.0,144.9339
1426,0.0,0.0,7082.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.9,0.0,3055.0,1.0,1426,-37.7688,2,1.0,144.9421
9864,1.0,0.0,4790.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,16.1,649.0,3111.0,1.0,9865,-37.80274,3,2.0,145.17952
8821,0.0,0.0,8870.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.2,194.0,3046.0,1.0,8822,-37.70168,3,1.0,144.94862
9742,0.0,0.0,4242.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,18.0,431.0,3037.0,2.0,9743,-37.7209,3,2.0,144.75053
718,0.0,0.0,6795.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,578.0,3204.0,2.0,718,-37.9344,3,1.0,145.0481
5460,1.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.4,164.0,3084.0,1.0,5460,-37.7362,2,1.0,145.079
3404,1.0,0.0,5549.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.9,721.0,3079.0,2.0,3404,-37.758,3,2.0,145.0408
5894,0.0,0.0,3284.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,9.7,0.0,3041.0,2.0,5894,-37.7354,4,3.0,144.9128
11290,1.0,0.0,9704.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,25.0,2033.0,3155.0,2.0,11292,-37.86669000000001,4,4.0,145.29959
735,0.0,0.0,6795.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,227.0,3204.0,1.0,735,-37.9326,2,1.0,145.0387
4921,0.0,0.0,14577.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.8,339.0,3072.0,1.0,4921,-37.7485,4,1.0,144.998
8750,0.0,0.0,5533.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,315.0,3057.0,1.0,8751,-37.76386,2,0.0,144.97783
9306,1.0,0.0,4407.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.3,669.0,3135.0,1.0,9307,-37.81656,4,2.0,145.24247
10153,0.0,0.0,11918.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.2,245.0,3056.0,1.0,10154,-37.77111,2,1.0,144.96427
2140,1.0,0.0,9028.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,13.9,656.0,3108.0,3.0,2140,-37.7752,5,2.0,145.1317
4441,0.0,0.0,11364.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.5,522.0,3070.0,1.0,4441,-37.7752,3,1.0,145.0032
6794,0.0,0.0,5533.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.5,148.0,3057.0,1.0,6794,-37.7722,2,1.0,144.9751
909,0.0,0.0,10969.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.9,692.0,3165.0,1.0,909,-37.9232,3,2.0,145.0563
6137,0.0,0.0,5457.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,11.2,387.0,3127.0,1.0,6137,-37.8269,2,1.0,145.1039
496,0.0,0.0,2952.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.6,178.0,3183.0,1.0,496,-37.8663,3,1.0,144.9948
9315,0.0,0.0,8077.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,35.4,648.0,3198.0,1.0,9316,-38.11014,3,2.0,145.14336
7063,1.0,0.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,2064.0,3079.0,4.0,7063,-37.7769,5,2.0,145.0605
9053,0.0,0.0,11918.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.2,251.0,3056.0,2.0,9054,-37.77588,3,0.0,144.95736000000005
8387,0.0,0.0,13240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.1,1236.0,3182.0,1.0,8388,-37.8585,1,1.0,144.9884
9964,0.0,0.0,3650.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.5,413.0,3195.0,2.0,9965,-37.99906,4,2.0,145.09386
1206,0.0,0.0,6938.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,10.7,603.0,3187.0,2.0,1206,-37.9187,4,1.0,145.0071
4684,0.0,0.0,7485.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.9,542.0,3044.0,1.0,4684,-37.7189,3,2.0,144.9367
4449,0.0,0.0,11364.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.5,328.0,3070.0,1.0,4449,-37.7745,3,1.0,145.0045
10235,1.0,0.0,10999.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,14.3,695.0,3109.0,2.0,10236,-37.78541,3,2.0,145.15493
1195,0.0,0.0,6938.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,10.7,708.0,3187.0,3.0,1195,-37.9299,4,4.0,145.015
6501,0.0,0.0,6380.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,310.0,3016.0,2.0,6501,-37.8644,3,2.0,144.9039
5617,0.0,0.0,14887.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3,0.0,3141.0,1.0,5617,-37.8404,1,1.0,145.0045
7302,0.0,0.0,2185.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,13.9,697.0,3020.0,1.0,7302,-37.7809,3,0.0,144.8228
3297,1.0,0.0,2674.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.4,668.0,3081.0,1.0,3297,-37.7389,2,2.0,145.0393
7633,0.0,0.0,7082.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.9,176.0,3055.0,1.0,7634,-37.7597,3,2.0,144.9404
10816,0.0,0.0,14887.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.7,876.0,3141.0,1.0,10818,-37.83766,2,1.0,144.98799
10258,0.0,0.0,9264.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,7.5,856.0,3040.0,1.0,10259,-37.74022,2,6.0,144.89557
288,0.0,0.0,6567.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,5.9,478.0,3032.0,3.0,288,-37.7729,4,1.0,144.9179
8990,0.0,0.0,5262.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,27.2,743.0,3024.0,1.0,8991,-37.89757,3,2.0,144.63041
5579,0.0,0.0,14887.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.3,0.0,3141.0,1.0,5579,-37.8363,1,1.0,145.0003
5494,0.0,0.0,2417.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,6.6,176.0,3011.0,1.0,5494,-37.8052,2,1.0,144.8883
3955,0.0,0.0,4918.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.7,613.0,3032.0,3.0,3955,-37.7799,4,4.0,144.8879
8225,0.0,0.0,7485.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.9,706.0,3044.0,2.0,8226,-37.7328,5,2.0,144.9281
11710,0.0,0.0,3145.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,12.3,0.0,3166.0,1.0,11712,-37.89369,2,1.0,145.08354
388,0.0,0.0,3052.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,11.0,755.0,3147.0,5.0,388,-37.8598,5,2.0,145.0796
836,0.0,0.0,10969.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.9,581.0,3165.0,1.0,836,-37.9177,3,1.0,145.0535
7566,0.0,0.0,10579.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,11.2,118.0,3186.0,1.0,7566,-37.8953,2,1.0,144.9974
6161,0.0,0.0,5457.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,11.2,817.0,3127.0,2.0,6161,-37.8312,4,3.0,145.0928
280,0.0,0.0,4836.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.3,0.0,3143.0,1.0,280,-37.8549,1,1.0,145.0113
7603,0.0,0.0,11918.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.2,650.0,3056.0,2.0,7604,-37.7575,4,4.0,144.9716
